Ambas;15;25;ResultC;W;FTS;CS;BTS;TG;GF;GA;1.5;2.5;3.5;W1;FTS1;CS1;BTS1;TG1;GF1;GA1;1.51;2.51;3.51
0;1;0;0;0,29;0,29;0,14;0,57;2,00;0,86;1,14;0,57;0,43;0,00;0,86;0,00;0,57;0,43;2,29;1,86;0,43;0,71;0,43;0,14
1;1;1;0;0,60;0,20;0,00;0,80;3,40;1,60;1,80;1,00;1,00;0,20;0,17;0,17;0,00;0,83;3,83;1,67;2,17;0,83;0,83;0,67
1;1;1;1;0,57;0,14;0,64;0,36;1,50;1,00;0,50;0,43;0,21;0,00;0,14;0,36;0,14;0,57;2,14;0,79;1,36;0,64;0,29;0,14
1;1;1;1;0,50;0,17;0,67;0,33;2,17;1,50;0,67;0,83;0,50;0,00;0,57;0,43;0,43;0,14;1,71;0,86;0,86;0,57;0,14;0,00
0;1;0;1;0,55;0,27;0,64;0,18;1,64;1,09;0,55;0,55;0,09;0,09;0,45;0,36;0,45;0,27;1,55;0,91;0,64;0,45;0,18;0,00
1;1;1;1;0,60;0,00;0,20;0,80;3,00;2,20;0,80;1,00;0,60;0,40;0,00;0,20;0,20;0,80;4,00;1,40;2,60;0,80;0,80;0,60
1;1;1;1;0,86;0,00;0,43;0,57;2,93;2,14;0,79;0,79;0,64;0,21;0,14;0,43;0,21;0,43;2,29;0,71;1,57;0,57;0,36;0,21
1;1;0;0;0,09;0,55;0,18;0,36;2,00;0,45;1,55;0,73;0,27;0,09;0,15;0,38;0,31;0,46;1,62;0,69;0,92;0,46;0,15;0,08
0;0;0;0;0,29;0,43;0,57;0,29;1,29;0,86;0,43;0,43;0,14;0,00;0,14;0,43;0,00;0,57;2,86;1,00;1,86;0,86;0,57;0,29
0;0;0;1;0,67;0,17;0,67;0,33;1,83;1,33;0,50;0,67;0,33;0,00;0,00;1,00;0,50;0,00;0,83;0,00;0,83;0,33;0,00;0,00
0;0;0;1;0,31;0,23;0,31;0,54;2,15;1,23;0,92;0,85;0,31;0,08;0,23;0,62;0,54;0,15;1,15;0,46;0,69;0,31;0,15;0,00
0;0;0;0;0,11;0,22;0,22;0,67;2,89;1,00;1,89;0,78;0,44;0,33;0,18;0,55;0,09;0,36;2,00;0,55;1,45;0,64;0,36;0,00
0;0;0;1;0,62;0,23;0,62;0,23;1,77;1,23;0,54;0,62;0,15;0,08;0,08;0,77;0,46;0,15;1,08;0,23;0,85;0,38;0,08;0,00
1;1;1;1;0,80;0,20;0,70;0,10;1,80;1,30;0,50;0,40;0,30;0,10;0,00;0,50;0,10;0,50;1,80;0,50;1,30;0,60;0,30;0,00
1;1;0;0;0,18;0,27;0,36;0,55;2,09;0,91;1,18;0,73;0,36;0,18;0,36;0,36;0,45;0,36;1,55;0,82;0,73;0,45;0,18;0,09
0;0;0;0;0,33;0,00;0,17;0,83;2,83;1,50;1,33;1,00;0,33;0,33;0,67;0,33;0,83;0,17;1,00;0,83;0,17;0,17;0,17;0,00
1;1;1;1;0,53;0,13;0,47;0,53;2,40;1,47;0,93;0,67;0,47;0,20;0,20;0,60;0,27;0,20;1,80;0,40;1,40;0,53;0,33;0,00
1;1;1;1;0,57;0,21;0,50;0,36;1,93;1,36;0,57;0,57;0,29;0,14;0,07;0,43;0,21;0,57;2,00;0,71;1,29;0,64;0,36;0,21
1;1;1;1;0,36;0,36;0,43;0,43;1,86;1,00;0,86;0,50;0,29;0,14;0,21;0,50;0,29;0,36;2,57;0,86;1,71;0,57;0,36;0,36
1;1;1;1;0,44;0,11;0,44;0,44;2,11;1,56;0,56;0,67;0,22;0,11;0,20;0,10;0,10;0,80;2,90;1,20;1,70;0,90;0,50;0,30
1;1;0;0;0,00;0,17;0,00;0,83;2,83;1,00;1,83;0,83;0,67;0,17;0,33;0,50;0,67;0,17;1,17;0,67;0,50;0,33;0,17;0,00
0;0;0;0;0,40;0,40;0,60;0,40;1,60;0,80;0,80;0,40;0,40;0,20;0,00;0,60;0,00;0,40;2,20;0,60;1,60;0,40;0,40;0,20
1;1;1;1;0,62;0,12;0,38;0,50;2,75;1,88;0,88;0,75;0,25;0,25;0,33;0,44;0,44;0,22;2,00;0,78;1,22;0,67;0,33;0,11
0;1;1;0;0,33;0,33;0,33;0,50;1,67;1,00;0,67;0,67;0,17;0,00;0,00;0,60;0,00;0,40;2,20;0,40;1,80;0,80;0,40;0,00
1;1;1;1;0,50;0,17;0,67;0,33;2,00;1,33;0,67;0,50;0,33;0,33;0,17;0,33;0,50;0,50;2,00;1,00;1,00;0,67;0,33;0,33
0;1;0;0;0,80;0,00;0,40;0,60;2,80;1,80;1,00;0,80;0,60;0,20;0,40;0,20;0,00;0,80;3,00;1,40;1,60;0,80;0,80;0,40
1;1;1;1;0,54;0,00;0,38;0,62;3,00;2,08;0,92;0,85;0,54;0,31;0,58;0,17;0,50;0,33;2,33;1,67;0,67;0,58;0,33;0,25
0;0;0;1;0,83;0,00;0,67;0,33;1,83;1,50;0,33;0,50;0,33;0,00;0,17;0,83;0,50;0,00;1,00;0,17;0,83;0,17;0,17;0,00
1;1;1;1;0,50;0,17;0,33;0,50;2,17;1,33;0,83;0,67;0,33;0,17;0,33;0,17;0,17;0,67;2,67;1,00;1,67;0,83;0,50;0,33
0;0;0;0;0,50;0,29;0,57;0,36;1,29;0,86;0,43;0,36;0,14;0,00;0,00;0,79;0,00;0,21;2,21;0,21;2,00;0,64;0,43;0,14
1;1;1;1;0,60;0,00;0,60;0,40;1,80;1,20;0,60;0,60;0,20;0,00;0,43;0,43;0,14;0,43;3,57;1,57;2,00;0,86;0,71;0,43
1;1;0;0;0,00;0,14;0,00;0,86;4,14;1,14;3,00;1,00;0,86;0,71;0,25;0,38;0,12;0,50;2,38;0,88;1,50;0,88;0,50;0,00
0;0;0;1;0,73;0,13;0,67;0,27;2,67;2,13;0,53;0,87;0,33;0,27;0,40;0,27;0,53;0,40;1,47;0,93;0,53;0,47;0,07;0,07
1;1;0;0;0,11;0,33;0,11;0,56;3,44;0,89;2,56;0,89;0,56;0,44;0,33;0,22;0,44;0,44;2,33;1,11;1,22;0,78;0,22;0,22
0;0;0;0;0,60;0,13;0,67;0,33;1,80;1,27;0,53;0,47;0,27;0,13;0,07;0,40;0,07;0,53;2,07;0,60;1,47;0,80;0,20;0,07
0;0;0;1;0,20;0,30;0,40;0,50;1,70;0,80;0,90;0,60;0,30;0,00;0,38;0,38;0,62;0,38;1,75;1,13;0,63;0,62;0,38;0,12
0;0;0;0;0,12;0,25;0,00;0,75;3,88;1,25;2,63;0,88;0,75;0,50;0,25;0,38;0,25;0,38;2,50;0,88;1,63;0,75;0,62;0,12
0;0;0;0;0,33;0,33;0,42;0,50;2,33;1,08;1,25;0,58;0,42;0,25;0,42;0,33;0,42;0,42;1,83;1,08;0,75;0,67;0,25;0,08
1;1;0;0;0,38;0,46;0,31;0,31;1,69;0,85;0,85;0,46;0,23;0,08;0,31;0,31;0,31;0,54;1,92;0,85;1,08;0,62;0,38;0,08
0;0;0;1;0,38;0,12;0,12;0,75;3,13;1,50;1,63;0,88;0,62;0,25;0,12;0,75;0,38;0,12;1,13;0,25;0,88;0,25;0,12;0,00
1;1;1;1;0,44;0,11;0,11;0,78;2,33;1,44;0,89;0,89;0,44;0,00;0,33;0,00;0,33;0,67;2,78;1,44;1,33;0,89;0,44;0,22
1;1;1;0;0,75;0,25;0,75;0,25;1,75;1,50;0,25;0,50;0,50;0,00;0,00;0,80;0,00;0,20;4,60;0,40;4,20;1,00;0,60;0,60
0;1;0;1;0,92;0,00;0,77;0,23;2,38;2,08;0,31;0,62;0,38;0,23;0,55;0,27;0,55;0,27;2,09;1,64;0,45;0,73;0,27;0,09
1;1;1;1;0,73;0,09;0,55;0,45;2,91;2,27;0,64;0,91;0,45;0,36;0,27;0,27;0,36;0,64;2,18;1,27;0,91;0,73;0,45;0,18
1;1;1;0;0,75;0,25;0,38;0,38;2,13;1,25;0,88;0,50;0,38;0,12;0,12;0,25;0,12;0,75;2,38;0,88;1,50;0,88;0,50;0,12
1;1;1;1;0,40;0,10;0,40;0,60;1,90;1,10;0,80;0,70;0,30;0,00;0,50;0,30;0,20;0,60;2,90;1,60;1,30;0,80;0,50;0,40
0;1;1;0;0,00;0,60;0,20;0,40;2,20;0,40;1,80;0,60;0,40;0,40;0,80;0,00;0,60;0,40;4,40;3,80;0,60;1,00;1,00;0,80
1;1;1;0;0,38;0,62;0,88;0,12;1,50;1,25;0,25;0,38;0,25;0,25;0,25;0,50;0,12;0,38;2,50;0,75;1,75;0,88;0,50;0,12
1;1;1;1;0,33;0,50;0,33;0,50;2,33;1,50;0,83;0,50;0,50;0,50;0,43;0,29;0,43;0,57;2,00;1,29;0,71;0,71;0,43;0,14
1;1;1;1;0,44;0,19;0,44;0,50;2,06;1,31;0,75;0,69;0,25;0,06;0,12;0,38;0,12;0,50;2,00;0,63;1,38;0,75;0,19;0,06
0;0;0;1;0,33;0,17;0,50;0,50;1,33;0,83;0,50;0,50;0,00;0,00;0,83;0,17;0,50;0,33;2,17;1,50;0,67;0,83;0,33;0,00
0;0;0;0;0,60;0,00;0,20;0,80;2,80;1,80;1,00;1,00;0,40;0,20;0,20;0,20;0,00;0,80;2,40;1,20;1,20;0,80;0,20;0,20
1;1;1;0;0,11;0,44;0,11;0,44;2,44;0,78;1,67;0,78;0,44;0,22;0,22;0,38;0,00;0,25;0,75;2,75;1,75;1,00;1,00;0,50
1;1;1;1;0,44;0,11;0,11;0,78;3,22;1,89;1,33;0,89;0,78;0,33;0,00;0,50;0,12;0,50;4,50;1,00;3,50;0,75;0,75;0,62
0;1;1;0;0,71;0,00;0,43;0,57;3,71;2,57;1,14;0,86;0,71;0,57;0,80;0,00;0,80;0,20;2,80;2,40;0,40;0,80;0,60;0,20
1;1;1;0;0,57;0,29;0,43;0,57;3,14;1,86;1,29;0,57;0,57;0,29;0,00;0,33;0,11;0,67;2,44;0,89;1,56;0,78;0,44;0,22
1;1;1;0;0,33;0,17;0,00;0,83;4,00;1,83;2,17;1,00;0,83;0,67;0,50;0,33;0,50;0,33;2,50;1,50;1,00;0,83;0,50;0,17
1;1;1;1;0,60;0,20;0,40;0,60;1,90;1,30;0,60;0,70;0,40;0,00;0,10;0,50;0,10;0,40;1,90;0,50;1,40;0,60;0,30;0,00
1;1;1;0;0,67;0,00;0,22;0,78;2,56;1,67;0,89;0,78;0,44;0,22;0,11;0,33;0,33;0,56;2,11;0,89;1,22;0,67;0,44;0,22
1;1;0;0;0,43;0,43;0,43;0,29;2,43;1,43;1,00;0,57;0,43;0,43;0,43;0,43;0,57;0,14;2,57;0,71;1,86;0,57;0,43;0,29
1;1;1;1;0,80;0,00;0,20;0,80;2,40;1,60;0,80;0,80;0,60;0,00;0,67;0,17;0,33;0,50;2,50;1,83;0,67;0,83;0,33;0,33
0;1;0;1;0,67;0,17;0,83;0,17;2,17;1,83;0,33;0,83;0,33;0,17;0,17;0,67;0,50;0,33;1,00;0,50;0,50;0,33;0,17;0,00
1;1;0;0;0,23;0,23;0,00;0,77;2,38;1,08;1,31;0,92;0,38;0,08;0,25;0,50;0,25;0,33;2,50;0,75;1,75;0,67;0,50;0,25
0;0;0;0;0,38;0,62;0,38;0,25;2,13;1,00;1,13;0,62;0,38;0,25;0,12;0,75;0,38;0,12;1,50;0,25;1,25;0,62;0,12;0,00
1;1;1;1;0,62;0,12;0,38;0,50;2,88;1,88;1,00;1,00;0,50;0,12;0,62;0,12;0,12;0,75;2,75;1,75;1,00;1,00;0,50;0,25
0;1;1;1;0,56;0,33;0,33;0,33;2,22;1,33;0,89;0,67;0,44;0,11;0,25;0,75;0,50;0,00;1,50;0,50;1,00;0,62;0,12;0,00
1;1;1;0;0,00;0,50;0,00;0,50;2,83;0,50;2,33;0,67;0,67;0,17;0,33;0,33;0,17;0,50;2,17;1,00;1,17;0,50;0,50;0,17
1;1;1;1;0,60;0,00;0,60;0,40;1,80;1,40;0,40;0,80;0,00;0,00;0,17;0,33;0,33;0,50;2,00;1,00;1,00;0,83;0,17;0,17
0;0;0;0;0,33;0,17;0,17;0,67;2,50;1,17;1,33;0,67;0,33;0,33;0,00;0,14;0,00;0,86;2,86;1,00;1,86;1,00;0,57;0,29
1;1;1;0;0,00;0,43;0,14;0,57;2,43;0,86;1,57;0,71;0,57;0,29;0,50;0,33;0,33;0,50;2,67;2,00;0,67;0,67;0,50;0,50
1;1;1;1;0,56;0,12;0,38;0,56;2,38;1,56;0,81;0,88;0,44;0,12;0,18;0,41;0,29;0,41;1,76;0,65;1,12;0,59;0,24;0,06
1;1;1;1;0,31;0,38;0,46;0,38;1,69;0,92;0,77;0,38;0,31;0,23;0,46;0,38;0,38;0,31;2,31;1,00;1,31;0,69;0,38;0,31
1;1;0;0;0,22;0,22;0,11;0,78;2,22;1,11;1,11;0,78;0,44;0,11;0,11;0,78;0,56;0,22;1,67;0,56;1,11;0,44;0,44;0,22
